seq,slot,bytes,npts,e2e_us,fft_us,peak_hz,expect_hz,ok,gitsha
104,0,16640,4096,12.384,7.392,50048.8,50000.0,1,2eb80be
105,1,16640,4096,12.448,7.328,54931.6,55000.0,1,2eb80be
106,2,16640,4096,12.608,7.584,60058.6,60000.0,1,2eb80be
107,3,16640,4096,12.400,7.488,64941.4,65000.0,1,2eb80be
108,0,16640,4096,12.992,8.064,70068.4,70000.0,1,2eb80be
109,1,16640,4096,14.240,9.216,74951.2,75000.0,1,2eb80be
110,2,16640,4096,14.016,8.960,80078.1,80000.0,1,2eb80be
111,3,16640,4096,13.552,8.416,84960.9,85000.0,1,2eb80be
112,0,16640,4096,12.048,7.200,10009.8,10000.0,1,2eb80be
113,1,16640,4096,12.544,7.232,14892.6,15000.0,1,2eb80be
114,2,16640,4096,12.368,7.264,20019.5,20000.0,1,2eb80be
115,3,16640,4096,13.744,8.608,24902.3,25000.0,1,2eb80be
116,0,16640,4096,12.528,7.360,30029.3,30000.0,1,2eb80be
117,1,16640,4096,12.689,7.520,34912.1,35000.0,1,2eb80be
118,2,16640,4096,12.768,7.776,40039.1,40000.0,1,2eb80be
119,3,16640,4096,12.208,7.328,44921.9,45000.0,1,2eb80be
120,0,16640,4096,13.632,8.832,50048.8,50000.0,1,2eb80be
121,1,16640,4096,14.032,9.248,54931.6,55000.0,1,2eb80be
122,2,16640,4096,12.192,7.200,60058.6,60000.0,1,2eb80be
123,3,16640,4096,12.400,7.552,64941.4,65000.0,1,2eb80be
124,0,16640,4096,12.544,7.552,70068.4,70000.0,1,2eb80be
125,1,16640,4096,11.888,7.072,74951.2,75000.0,1,2eb80be
126,2,16640,4096,12.144,7.296,80078.1,80000.0,1,2eb80be
127,3,16640,4096,12.688,7.904,84960.9,85000.0,1,2eb80be
128,0,16640,4096,12.160,7.200,10009.8,10000.0,1,2eb80be
129,1,16640,4096,11.920,6.976,14892.6,15000.0,1,2eb80be
130,2,16640,4096,13.536,8.448,20019.5,20000.0,1,2eb80be
131,3,16640,4096,12.352,7.584,24902.3,25000.0,1,2eb80be
132,0,16640,4096,12.160,7.264,30029.3,30000.0,1,2eb80be
133,1,16640,4096,12.144,7.104,34912.1,35000.0,1,2eb80be
134,2,16640,4096,13.776,8.704,40039.1,40000.0,1,2eb80be
135,3,16640,4096,12.624,7.616,44921.9,45000.0,1,2eb80be
136,0,16640,4096,12.128,7.168,50048.8,50000.0,1,2eb80be
137,1,16640,4096,13.568,8.704,54931.6,55000.0,1,2eb80be
