e2e_latency_us,transfer_latency_us,fft_exec_us,samples_per_sec,buffers_per_sec,mb_per_sec,cpu_util_pct,gpu_util_pct,buffer_size_samples,dropped_buffers
23.968,9.984,6.976,3.41789e+08,41722.3,1367.16,1.02386,0,8192,0
22.832,8.992,6.848,3.58795e+08,43798.2,1435.18,1.02386,0,8192,0
25.28,9.056,7.264,3.24051e+08,39557,1296.2,1.02386,0,8192,0
23.248,8.992,7.136,3.52374e+08,43014.5,1409.5,1.02386,0,8192,0
27.216,13.664,6.688,3.00999e+08,36743.1,1204,1.02386,0,8192,0
23.696,8.896,7.52,3.45712e+08,42201.2,1382.85,1.02386,0,8192,0
24.208,10.24,6.752,3.38401e+08,41308.7,1353.6,1.02386,0,8192,0
25.104,11.296,6.688,3.26322e+08,39834.3,1305.29,1.02386,0,8192,0
25.76,8.896,7.648,3.18012e+08,38819.9,1272.05,1.02386,0,8192,0
22.864,8.8,7.008,3.58293e+08,43736.9,1433.17,1.02386,0,8192,0
27.184,9.024,10.976,3.01354e+08,36786.3,1205.41,1.02386,0,8192,0
23.168,9.248,7.04,3.53591e+08,43163,1414.36,1.02386,0,8192,0
25.312,10.624,7.52,3.23641e+08,39507,1294.56,1.02386,0,8192,0
23.504,8.96,7.616,3.48536e+08,42545.9,1394.15,1.02386,0,8192,0
24.128,10.208,6.848,3.39523e+08,41445.6,1358.09,1.02386,0,8192,0
27.136,12.672,7.584,3.01887e+08,36851.4,1207.55,1.02386,0,8192,0
23.136,8.96,7.008,3.5408e+08,43222.7,1416.32,1.02386,0,8192,0
23.729,9.216,7.584,3.45232e+08,42142.5,1380.93,1.02386,0,8192,0
27.392,10.656,6.656,2.99065e+08,36507,1196.26,1.02386,0,8192,0
23.104,9.152,6.944,3.54571e+08,43282.5,1418.28,1.02386,0,8192,0
24.224,10.144,6.784,3.38177e+08,41281.4,1352.71,1.02386,0,8192,0
23.648,9.248,7.232,3.46414e+08,42286.9,1385.66,1.02386,0,8192,0
