arm,size,kb,rep,write_p50,fft_p50,total_p50,fft_p90,us_per_mb,n,note,gitsha
ha_wcmap,4096,16,3,0.160,6.080,6.240,6.240,399.360,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,4096,16,3,1.264,4.896,6.160,6.144,394.240,200,-,6070ae1
shmreg_def,4096,16,3,1.344,4.864,6.208,6.112,397.312,200,cudaHostRegister Default,6070ae1
shmreg_port,4096,16,3,1.360,4.832,6.192,6.112,396.288,200,cudaHostRegister Portable,6070ae1
shmreg_big,4096,16,3,1.392,4.896,6.288,6.112,402.432,200,registration span rounded up to 2 MB,6070ae1
hostalloc,4096,16,4,0.160,6.048,6.208,6.272,397.312,200,-,6070ae1
ha_def,4096,16,4,0.160,6.144,6.304,6.272,403.456,200,cudaHostAlloc Default,6070ae1
ha_wc,4096,16,4,0.160,6.112,6.272,6.272,401.408,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,4096,16,4,0.160,6.112,6.272,6.272,401.408,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,4096,16,4,1.264,4.864,6.128,6.112,392.192,200,-,6070ae1
shmreg_def,4096,16,4,1.344,4.832,6.176,6.080,395.264,200,cudaHostRegister Default,6070ae1
shmreg_port,4096,16,4,1.376,4.864,6.240,6.112,399.360,200,cudaHostRegister Portable,6070ae1
shmreg_big,4096,16,4,1.376,4.896,6.272,6.112,401.408,200,registration span rounded up to 2 MB,6070ae1
hostalloc,4096,16,5,0.160,6.176,6.336,6.272,405.504,200,-,6070ae1
ha_def,4096,16,5,0.160,6.176,6.336,6.272,405.504,200,cudaHostAlloc Default,6070ae1
ha_wc,4096,16,5,0.160,6.144,6.304,6.272,403.456,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,4096,16,5,0.160,6.080,6.240,6.240,399.360,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,4096,16,5,1.280,4.896,6.176,6.112,395.264,200,-,6070ae1
shmreg_def,4096,16,5,1.376,4.832,6.208,6.048,397.312,200,cudaHostRegister Default,6070ae1
shmreg_port,4096,16,5,1.360,4.896,6.256,6.112,400.384,200,cudaHostRegister Portable,6070ae1
shmreg_big,4096,16,5,1.392,4.832,6.224,6.080,398.336,200,registration span rounded up to 2 MB,6070ae1
hostalloc,8192,32,1,0.288,6.400,6.688,6.464,214.016,200,-,6070ae1
ha_def,8192,32,1,0.288,6.368,6.656,6.464,212.992,200,cudaHostAlloc Default,6070ae1
ha_wc,8192,32,1,0.288,6.368,6.656,6.464,212.992,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,8192,32,1,0.304,6.368,6.672,6.464,213.504,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,8192,32,1,1.888,6.656,8.544,6.848,273.408,200,-,6070ae1
shmreg_def,8192,32,1,1.840,6.688,8.528,6.880,272.896,200,cudaHostRegister Default,6070ae1
shmreg_port,8192,32,1,1.920,6.592,8.512,6.848,272.384,200,cudaHostRegister Portable,6070ae1
shmreg_big,8192,32,1,1.824,6.720,8.544,6.880,273.408,200,registration span rounded up to 2 MB,6070ae1
hostalloc,8192,32,2,0.288,6.400,6.688,7.008,214.016,200,-,6070ae1
ha_def,8192,32,2,0.288,6.400,6.688,6.944,214.016,200,cudaHostAlloc Default,6070ae1
ha_wc,8192,32,2,0.288,6.400,6.688,6.944,214.016,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,8192,32,2,0.304,6.400,6.704,6.912,214.528,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,8192,32,2,1.904,6.592,8.496,6.848,271.872,200,-,6070ae1
shmreg_def,8192,32,2,1.840,6.592,8.432,6.912,269.824,200,cudaHostRegister Default,6070ae1
shmreg_port,8192,32,2,1.968,6.528,8.496,6.880,271.872,200,cudaHostRegister Portable,6070ae1
shmreg_big,8192,32,2,1.840,6.656,8.496,6.880,271.872,200,registration span rounded up to 2 MB,6070ae1
hostalloc,8192,32,3,0.288,6.208,6.496,7.136,207.872,200,-,6070ae1
ha_def,8192,32,3,0.288,6.176,6.464,7.104,206.848,200,cudaHostAlloc Default,6070ae1
ha_wc,8192,32,3,0.288,6.240,6.528,7.136,208.896,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,8192,32,3,0.304,6.208,6.512,7.136,208.384,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,8192,32,3,1.968,6.368,8.336,6.752,266.752,200,-,6070ae1
shmreg_def,8192,32,3,1.904,6.368,8.272,6.848,264.704,200,cudaHostRegister Default,6070ae1
shmreg_port,8192,32,3,1.984,6.432,8.416,6.944,269.312,200,cudaHostRegister Portable,6070ae1
shmreg_big,8192,32,3,1.904,6.432,8.336,6.880,266.752,200,registration span rounded up to 2 MB,6070ae1
hostalloc,8192,32,4,0.288,6.208,6.496,7.136,207.872,200,-,6070ae1
ha_def,8192,32,4,0.288,6.240,6.528,7.136,208.896,200,cudaHostAlloc Default,6070ae1
ha_wc,8192,32,4,0.288,6.208,6.496,7.136,207.872,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,8192,32,4,0.304,6.208,6.512,7.136,208.384,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,8192,32,4,1.952,6.400,8.352,6.816,267.264,200,-,6070ae1
shmreg_def,8192,32,4,1.904,6.432,8.336,6.848,266.752,200,cudaHostRegister Default,6070ae1
shmreg_port,8192,32,4,2.000,6.432,8.432,6.976,269.824,200,cudaHostRegister Portable,6070ae1
shmreg_big,8192,32,4,1.904,6.432,8.336,6.784,266.752,200,registration span rounded up to 2 MB,6070ae1
hostalloc,8192,32,5,0.288,6.176,6.464,7.168,206.848,200,-,6070ae1
ha_def,8192,32,5,0.288,6.176,6.464,7.136,206.848,200,cudaHostAlloc Default,6070ae1
ha_wc,8192,32,5,0.288,6.176,6.464,7.136,206.848,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,8192,32,5,0.304,6.176,6.480,7.136,207.360,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,8192,32,5,1.968,6.368,8.336,6.784,266.752,200,-,6070ae1
shmreg_def,8192,32,5,1.920,6.400,8.320,6.912,266.240,200,cudaHostRegister Default,6070ae1
shmreg_port,8192,32,5,2.000,6.400,8.400,6.976,268.800,200,cudaHostRegister Portable,6070ae1
shmreg_big,8192,32,5,1.904,6.400,8.304,6.944,265.728,200,registration span rounded up to 2 MB,6070ae1
hostalloc,16384,64,1,0.560,8.864,9.424,9.184,150.784,200,-,6070ae1
ha_def,16384,64,1,0.560,8.896,9.456,9.984,151.296,200,cudaHostAlloc Default,6070ae1
ha_wc,16384,64,1,0.560,8.864,9.424,9.152,150.784,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,16384,64,1,0.576,8.864,9.440,9.120,151.040,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,16384,64,1,3.040,8.704,11.744,10.240,187.904,200,-,6070ae1
shmreg_def,16384,64,1,3.040,8.672,11.712,10.144,187.392,200,cudaHostRegister Default,6070ae1
